n,vin,lpf_out,adc_out,filter_out
0,0.000000,0.000000,0.000000,0.000000
1,0.404724,0.118591,0.118164,0.000178
2,0.458130,0.391571,0.390625,0.000742
3,0.508881,0.498993,0.498047,0.001352
4,0.555695,0.559113,0.558594,0.001729
5,0.597473,0.610626,0.610352,0.001416
6,0.633118,0.656372,0.656250,-0.000232
7,0.661804,0.695404,0.695312,-0.003820
8,0.682800,0.726807,0.726562,-0.009510
9,0.695618,0.749786,0.749023,-0.016618
10,0.699951,0.763794,0.763672,-0.023272
11,0.695648,0.768494,0.767578,-0.026344
12,0.682831,0.763733,0.763672,-0.021802
13,0.661835,0.749634,0.749023,-0.005407
14,0.633118,0.726562,0.726562,0.026384
15,0.597443,0.695068,0.694336,0.075509
16,0.555695,0.655945,0.655273,0.141699
17,0.508850,0.610138,0.609375,0.222220
18,0.458130,0.558807,0.558594,0.312196
19,0.404724,0.503204,0.502930,0.405441
20,0.349976,0.444672,0.444336,0.495485
21,0.295227,0.384674,0.383789,0.576690
22,0.241852,0.324707,0.324219,0.645004
23,0.191101,0.266205,0.265625,0.698295
24,0.144287,0.210632,0.209961,0.736291
25,0.102539,0.159332,0.159180,0.760085
26,0.066864,0.113617,0.113281,0.771478
27,0.038177,0.074554,0.074219,0.772314
28,0.017151,0.043152,0.042969,0.764028
29,0.004303,0.020142,0.019531,0.747525
30,0.000000,0.006134,0.005859,0.723291
31,0.004333,0.001465,0.000977,0.691622
32,0.017151,0.006256,0.005859,0.652929
33,0.038177,0.020355,0.019531,0.607906
34,0.066864,0.043427,0.042969,0.557370
35,0.102539,0.074890,0.074219,0.502283
36,0.144287,0.114014,0.113281,0.444237
37,0.191101,0.159790,0.159180,0.384726
38,0.241852,0.211121,0.210938,0.325223
39,0.295258,0.266754,0.266602,0.267192
40,0.349976,0.325287,0.325195,0.212061
41,0.404724,0.385284,0.384766,0.161188
42,0.458130,0.445251,0.444336,0.115826
43,0.508850,0.503754,0.502930,0.077091
44,0.555695,0.559357,0.558594,0.045938
45,0.597473,0.610657,0.610352,0.023134
46,0.633148,0.656372,0.656250,0.009242
47,0.661804,0.695435,0.695312,0.004604
48,0.682831,0.726807,0.726562,0.009333
49,0.695618,0.749786,0.749023,0.023313
50,0.699951,0.763794,0.763672,0.046199
51,0.695618,0.768463,0.767578,0.077428
52,0.682831,0.763702,0.763672,0.116231
53,0.661804,0.749634,0.749023,0.161652
54,0.633148,0.726562,0.726562,0.212573
55,0.597473,0.695068,0.694336,0.267741
56,0.555695,0.655945,0.655273,0.325797
57,0.508850,0.610168,0.609375,0.385311
58,0.458130,0.558807,0.558594,0.444819
59,0.404724,0.503204,0.502930,0.502854
60,0.349976,0.444672,0.444336,0.557987
61,0.295258,0.384674,0.383789,0.608860
62,0.241852,0.324707,0.324219,0.654221
63,0.191101,0.266174,0.265625,0.692953
64,0.144287,0.210602,0.209961,0.724102
65,0.102539,0.159332,0.159180,0.746902
66,0.066864,0.113617,0.113281,0.760792
67,0.038177,0.074554,0.074219,0.765430
68,0.017151,0.043152,0.042969,0.760701
69,0.004333,0.020172,0.019531,0.746722
70,0.000031,0.006134,0.005859,0.723836
71,0.004303,0.001465,0.000977,0.692607
72,0.017151,0.006226,0.005859,0.653804
73,0.038177,0.020355,0.019531,0.608382
74,0.066864,0.043427,0.042969,0.557460
75,0.102539,0.074921,0.074219,0.502291
76,0.144287,0.114014,0.113281,0.444235
77,0.191101,0.159790,0.159180,0.384722
78,0.241852,0.211121,0.210938,0.325217
79,0.295227,0.266754,0.266602,0.267184
80,0.349976,0.325287,0.325195,0.212054
81,0.404724,0.385284,0.384766,0.161182
82,0.458130,0.445251,0.444336,0.115821
83,0.508850,0.503754,0.502930,0.077088
84,0.555695,0.559326,0.558594,0.045937
85,0.597443,0.610626,0.610352,0.023135
86,0.633118,0.656372,0.656250,0.009244
87,0.661835,0.695435,0.695312,0.004606
88,0.682831,0.726837,0.726562,0.009335
89,0.695648,0.749817,0.749023,0.023315
90,0.699951,0.763794,0.763672,0.046202
91,0.695618,0.768463,0.767578,0.077431
92,0.682800,0.763702,0.763672,0.116234
93,0.661804,0.749603,0.749023,0.161654
94,0.633118,0.726562,0.726562,0.212574
95,0.597443,0.695068,0.694336,0.267740
96,0.555695,0.655975,0.655273,0.325794
97,0.508881,0.610168,0.609375,0.385307
98,0.458130,0.558838,0.558594,0.444813
99,0.404724,0.503204,0.502930,0.502847
100,0.349976,0.444672,0.444336,0.557981
101,0.295258,0.384674,0.383789,0.608856
102,0.241852,0.324707,0.324219,0.654219
103,0.191101,0.266205,0.265625,0.692953
104,0.144287,0.210602,0.209961,0.724104
105,0.102509,0.159332,0.159180,0.746906
106,0.066864,0.113586,0.113281,0.760796
107,0.038177,0.074554,0.074219,0.765433
108,0.017181,0.043152,0.042969,0.760704
109,0.004364,0.020172,0.019531,0.746725
110,0.000031,0.006165,0.005859,0.723839
111,0.004333,0.001465,0.000977,0.692612
112,0.017151,0.006226,0.005859,0.653810
113,0.038147,0.020325,0.019531,0.608389
114,0.066864,0.043396,0.042969,0.557467
115,0.102539,0.074890,0.074219,0.502299
116,0.144287,0.114014,0.113281,0.444243
117,0.191101,0.159821,0.159180,0.384729
118,0.241852,0.211151,0.210938,0.325222
119,0.295258,0.266754,0.266602,0.267188
120,0.349976,0.325287,0.325195,0.212056
121,0.404755,0.385284,0.384766,0.161183
122,0.458130,0.445251,0.444336,0.115821
123,0.508881,0.503754,0.502930,0.077087
124,0.555695,0.559357,0.558594,0.045935
125,0.597443,0.610626,0.610352,0.023132
126,0.633118,0.656342,0.656250,0.009239
127,0.661804,0.695404,0.695312,0.004600
128,0.682831,0.726837,0.726562,0.009328
129,0.695679,0.749817,0.749023,0.023308
130,0.699951,0.763824,0.763672,0.046196
131,0.695648,0.768494,0.767578,0.077427
132,0.682800,0.763702,0.763672,0.116232
133,0.661804,0.749603,0.749023,0.161655
134,0.633118,0.726532,0.725586,0.212578
135,0.597443,0.695068,0.694336,0.267746
136,0.555695,0.655945,0.655273,0.325800
137,0.508881,0.610168,0.609375,0.385312
138,0.458130,0.558838,0.558594,0.444817
139,0.404724,0.503204,0.502930,0.502849
140,0.349976,0.444672,0.444336,0.557981
141,0.295258,0.384674,0.383789,0.608854
142,0.241852,0.324707,0.324219,0.654217
143,0.191101,0.266205,0.265625,0.692952
144,0.144287,0.210602,0.209961,0.724104
145,0.102509,0.159332,0.159180,0.746907
146,0.066833,0.113586,0.113281,0.760797
147,0.038177,0.074554,0.074219,0.765435
148,0.017151,0.043152,0.042969,0.760705
149,0.004333,0.020172,0.019531,0.746723
150,0.000031,0.006165,0.005859,0.723836
151,0.004333,0.001495,0.000977,0.692607
152,0.017151,0.006256,0.005859,0.653804
153,0.038177,0.020325,0.019531,0.608382
154,0.066833,0.043396,0.042969,0.557462
155,0.102509,0.074890,0.074219,0.502294
156,0.144287,0.114014,0.113281,0.444240
157,0.191101,0.159821,0.159180,0.384727
158,0.241852,0.211151,0.210938,0.325221
159,0.295258,0.266754,0.266602,0.267188
160,0.349976,0.325287,0.325195,0.212056
161,0.404724,0.385284,0.384766,0.161184
162,0.458130,0.445251,0.444336,0.115823
163,0.508881,0.503784,0.502930,0.077091
164,0.555695,0.559357,0.558594,0.045940
165,0.597443,0.610626,0.610352,0.023139
166,0.633118,0.656342,0.656250,0.009248
167,0.661804,0.695404,0.695312,0.004609
168,0.682800,0.726807,0.726562,0.009337
169,0.695648,0.749786,0.749023,0.023316
170,0.699951,0.763824,0.763672,0.046202
171,0.695679,0.768524,0.767578,0.077431
172,0.682831,0.763733,0.763672,0.116235
173,0.661804,0.749603,0.749023,0.161658
174,0.633118,0.726532,0.725586,0.212580
175,0.597443,0.695068,0.694336,0.267748
176,0.555695,0.655945,0.655273,0.325803
177,0.508881,0.610168,0.609375,0.385315
178,0.458130,0.558838,0.558594,0.444819
179,0.404724,0.503204,0.502930,0.502851
180,0.349976,0.444702,0.444336,0.557981
181,0.295258,0.384674,0.383789,0.608854
182,0.241852,0.324707,0.324219,0.654215
183,0.191101,0.266205,0.265625,0.692949
184,0.144287,0.210632,0.209961,0.724101
185,0.102539,0.159332,0.159180,0.746905
186,0.066864,0.113586,0.113281,0.760797
187,0.038147,0.074524,0.074219,0.765436
188,0.017151,0.043121,0.042969,0.760707
189,0.004333,0.020142,0.019531,0.746728
190,0.000031,0.006165,0.005859,0.723841
191,0.004333,0.001495,0.000977,0.692612
192,0.017181,0.006256,0.005859,0.653809
193,0.038177,0.020355,0.019531,0.608388
194,0.066864,0.043427,0.042969,0.557468
195,0.102509,0.074890,0.074219,0.502301
196,0.144287,0.113983,0.113281,0.444247
197,0.191101,0.159790,0.159180,0.384733
198,0.241852,0.211151,0.210938,0.325226
199,0.295258,0.266754,0.266602,0.267191
200,0.349976,0.325287,0.325195,0.212056
